Latitude/Longitude,Temperature (F),Temp min (F),Temp max (F),Precipitation (In),Precip Type,Humidity,Wind speed (Mph),Wind gust (Mph),Wind direction (cardinal),CAD 911 Number,Zone Number,ESZ,Date & Time,Event
27.51337266681446/-82.7160042494716,82,80,87,0.013500000000000002,rain,80.42,29.295,43.605,237.0,W80,W80,380,2027-09-18 22:40:00,Olivia
27.58244732780023/-82.47046351483293,82,80,88,0.02025,rain,82.55,26.730000000000004,43.470000000000006,235.0,N30,N30,530,2027-09-18 22:40:00,Olivia
27.51631940991088/-82.32950123468633,82,80,87,0.01755,rain,82.48,26.730000000000004,43.470000000000006,236.0,N40,N40,540,2027-09-18 22:40:00,Olivia
27.4079906908935/-82.49381870885438,83,80,88,0.00135,rain,79.07,30.915,43.33500000000001,240.0,E60,E60,160,2027-09-18 22:40:00,Olivia
27.44964845888914/-82.63872640241588,83,80,88,0.0027,rain,79.29,30.780000000000005,43.605,239.0,W50,W50,350,2027-09-18 22:40:00,Olivia
27.43718857770742/-82.49526276632398,83,80,88,0.00135,rain,79.13,30.915,43.33500000000001,240.0,E50,E50,150,2027-09-18 22:40:00,Olivia
27.43756032249264/-82.56105489081881,83,80,88,0.0,,79.03,31.05,43.605,240.0,W30,W30,330,2027-09-18 22:40:00,Olivia
27.42497082223545/-82.53885956314242,83,80,88,0.0,,79.0,31.05,43.33500000000001,240.0,E20,E20,120,2027-09-18 22:40:00,Olivia
27.55013563136573/-82.17022585799779,81,81,87,0.0297,rain,85.42,23.22,43.470000000000006,233.0,N50,N50,550,2027-09-18 22:40:00,Olivia
27.4113915222411/-82.63641742330496,83,80,88,0.00135,rain,79.16,30.915,43.605,240.0,W95,W95,395,2027-09-18 22:40:00,Olivia
27.57521237910287/-82.52810297841918,82,80,88,0.01755,rain,80.92,28.755000000000003,43.470000000000006,237.0,N20,N20,520,2027-09-18 22:40:00,Olivia
27.52844207484047/-82.73131060040626,82,80,87,0.016200000000000003,rain,80.77,28.89,43.470000000000006,237.0,W70,W70,370,2027-09-18 22:40:00,Olivia
27.48566734980852/-82.57935903047095,83,80,88,0.004050000000000001,rain,79.34,30.645,43.605,239.0,W10,W10,310,2027-09-18 22:40:00,Olivia
27.46814086298033/-82.70183801706406,82,80,88,0.008100000000000001,rain,80.27,29.430000000000003,43.605,238.0,W90,W90,399,2027-09-18 22:40:00,Olivia
27.41355422392606/-82.42773936740639,82,80,88,0.004050000000000001,rain,79.42,30.510000000000005,43.33500000000001,239.0,N80,N80,580,2027-09-18 22:40:00,Olivia
27.42519527588937/-82.593902809873,83,80,88,0.0,,79.04,31.05,43.74,240.0,W40,W40,340,2027-09-18 22:40:00,Olivia
27.50413881751056/-82.64579861863763,82,80,88,0.008100000000000001,rain,79.8,30.105000000000004,43.605,239.0,W60,W60,360,2027-09-18 22:40:00,Olivia
27.4920066298147/-82.50196786939364,82,80,88,0.0054,rain,79.48,30.510000000000005,43.470000000000006,239.0,E40,E40,140,2027-09-18 22:40:00,Olivia
27.42519527588937/-82.593902809873,83,80,88,0.11745,rain,79.02,29.565,50.89500000000001,230.0,W40,W40,340,2027-09-18 21:20:00,Olivia
27.48091629798749/-82.43623531900593,82,80,88,0.09315000000000001,rain,79.53,29.430000000000003,48.73500000000001,231.0,N70,N70,570,2027-09-18 21:20:00,Olivia
27.51337266681446/-82.7160042494716,82,80,87,0.0972,rain,80.03,29.160000000000004,48.73500000000001,231.0,W80,W80,380,2027-09-18 21:20:00,Olivia
27.4079906908935/-82.49381870885438,83,80,88,0.0864,rain,79.05,29.565,48.6,230.0,E60,E60,160,2027-09-18 21:20:00,Olivia
27.52844207484047/-82.73131060040626,82,80,87,0.09585,rain,80.29,29.160000000000004,48.465,232.0,W70,W70,370,2027-09-18 21:20:00,Olivia
27.43756032249264/-82.56105489081881,83,80,88,0.10800000000000001,rain,79.01,29.565,50.220000000000006,230.0,W30,W30,330,2027-09-18 21:20:00,Olivia
27.46814086298033/-82.70183801706406,82,80,88,0.10125,rain,79.59,29.430000000000003,49.275000000000006,231.0,W90,W90,399,2027-09-18 21:20:00,Olivia
27.45564167051887/-82.57125875181734,83,80,88,0.10665000000000001,rain,79.07,29.565,49.95,230.0,W20,W20,320,2027-09-18 21:20:00,Olivia
27.48534636382016/-82.54659978322104,83,80,88,0.0999,rain,79.22,29.565,49.410000000000004,230.0,E10,E10,110,2027-09-18 21:20:00,Olivia
27.34076849562474/-82.154246879885,83,81,89,0.0594,rain,80.5,27.135000000000005,44.955,234.0,N60,N60,560,2027-09-18 21:20:00,Olivia
27.50413881751056/-82.64579861863763,82,80,88,0.10125,rain,79.57,29.430000000000003,49.275000000000006,231.0,W60,W60,360,2027-09-18 21:20:00,Olivia
27.57521237910287/-82.52810297841918,82,80,88,0.0918,rain,80.39,29.025000000000002,48.06,232.0,N20,N20,520,2027-09-18 21:20:00,Olivia
27.42497082223545/-82.53885956314242,83,80,88,0.0918,rain,78.99,29.565,49.005,230.0,E20,E20,120,2027-09-18 21:20:00,Olivia
27.48566734980852/-82.57935903047095,83,80,88,0.10260000000000001,rain,79.24,29.565,49.68,230.0,W10,W10,310,2027-09-18 21:20:00,Olivia
27.4113915222411/-82.63641742330496,83,80,88,0.1107,rain,79.11,29.565,50.355,230.0,W95,W95,395,2027-09-18 21:20:00,Olivia
27.55013563136573/-82.17022585799779,82,81,87,0.08235,rain,81.8,28.62,46.44,233.0,N50,N50,550,2027-09-18 21:20:00,Olivia
27.41355422392606/-82.42773936740639,82,80,88,0.09315000000000001,rain,79.3,29.430000000000003,48.870000000000005,230.0,N80,N80,580,2027-09-18 21:20:00,Olivia
27.57521237910287/-82.58438613832386,82,80,88,0.09315000000000001,rain,80.39,29.025000000000002,48.19500000000001,232.0,N10,N10,510,2027-09-18 21:20:00,Olivia
27.43718857770742/-82.49526276632398,83,80,88,0.0918,rain,79.09,29.565,48.870000000000005,230.0,E50,E50,150,2027-09-18 21:20:00,Olivia
27.4920066298147/-82.50196786939364,82,80,88,0.0972,rain,79.34,29.430000000000003,49.14,230.0,E40,E40,140,2027-09-18 21:20:00,Olivia
27.40958230929196/-82.56607332708364,83,80,88,0.14715,rain,78.97,29.565,53.190000000000005,230.0,E30,E30,130,2027-09-18 21:20:00,Olivia
27.58244732780023/-82.47046351483293,82,80,88,0.08910000000000001,rain,80.7,29.025000000000002,47.655,232.0,N30,N30,530,2027-09-18 21:20:00,Olivia
27.44964845888914/-82.63872640241588,83,80,88,0.10665000000000001,rain,79.21,29.565,49.95,230.0,W50,W50,350,2027-09-18 21:20:00,Olivia
27.51631940991088/-82.32950123468633,82,80,87,0.08910000000000001,rain,80.52,29.025000000000002,47.79,232.0,N40,N40,540,2027-09-18 21:20:00,Olivia
27.40958230929196/-82.56607332708364,83,80,88,0.0,,82.21,32.67,48.06,240.0,E30,E30,130,2027-09-18 20:00:00,Olivia
27.44964845888914/-82.63872640241588,83,80,88,0.006750000000000001,rain,82.36,32.400000000000006,48.06,240.0,W50,W50,350,2027-09-18 20:00:00,Olivia
27.57521237910287/-82.58438613832386,82,80,88,0.039150000000000004,rain,83.57,31.05,47.79,238.0,N10,N10,510,2027-09-18 20:00:00,Olivia
27.51337266681446/-82.7160042494716,82,80,87,0.0297,rain,83.21,31.455000000000002,47.925000000000004,239.0,W80,W80,380,2027-09-18 20:00:00,Olivia
27.43718857770742/-82.49526276632398,83,80,88,0.0027,rain,82.2,32.535000000000004,48.19500000000001,240.0,E50,E50,150,2027-09-18 20:00:00,Olivia
27.4079906908935/-82.49381870885438,83,80,88,0.0027,rain,82.14,32.535000000000004,48.19500000000001,240.0,E60,E60,160,2027-09-18 20:00:00,Olivia
27.57521237910287/-82.52810297841918,82,80,88,0.0405,rain,83.58,31.05,47.79,238.0,N20,N20,520,2027-09-18 20:00:00,Olivia
27.58244732780023/-82.47046351483293,82,80,88,0.0486,rain,83.89,30.645,47.655,238.0,N30,N30,530,2027-09-18 20:00:00,Olivia
27.52844207484047/-82.73131060040626,82,80,87,0.03645,rain,83.47,31.185000000000002,47.79,238.0,W70,W70,370,2027-09-18 20:00:00,Olivia
27.42497082223545/-82.53885956314242,83,80,88,0.0,,82.1,32.535000000000004,48.19500000000001,240.0,E20,E20,120,2027-09-18 20:00:00,Olivia
27.51631940991088/-82.32950123468633,82,80,87,0.0432,rain,83.71,30.915,47.79,238.0,N40,N40,540,2027-09-18 20:00:00,Olivia
27.50413881751056/-82.64579861863763,82,80,88,0.01755,rain,82.73,31.995,47.925000000000004,239.0,W60,W60,360,2027-09-18 20:00:00,Olivia
27.41355422392606/-82.42773936740639,82,80,88,0.00945,rain,82.42,32.265,48.06,240.0,N80,N80,580,2027-09-18 20:00:00,Olivia
27.48091629798749/-82.43623531900593,82,80,88,0.016200000000000003,rain,82.67,31.995,48.06,239.0,N70,N70,570,2027-09-18 20:00:00,Olivia
27.42519527588937/-82.593902809873,83,80,88,0.00135,rain,82.19,32.535000000000004,48.19500000000001,240.0,W40,W40,340,2027-09-18 20:00:00,Olivia
27.45564167051887/-82.57125875181734,83,80,88,0.0027,rain,82.22,32.535000000000004,48.19500000000001,240.0,W20,W20,320,2027-09-18 20:00:00,Olivia
27.4920066298147/-82.50196786939364,82,80,88,0.0108,rain,82.48,32.265,48.06,240.0,E40,E40,140,2027-09-18 20:00:00,Olivia
27.48566734980852/-82.57935903047095,83,80,88,0.008100000000000001,rain,82.39,32.265,48.06,240.0,W10,W10,310,2027-09-18 20:00:00,Olivia
27.43756032249264/-82.56105489081881,83,80,88,0.00135,rain,82.16,32.535000000000004,48.19500000000001,240.0,W30,W30,330,2027-09-18 20:00:00,Olivia
27.4113915222411/-82.63641742330496,83,80,88,0.004050000000000001,rain,82.27,32.400000000000006,48.06,240.0,W95,W95,395,2027-09-18 20:00:00,Olivia
27.48534636382016/-82.54659978322104,83,80,88,0.006750000000000001,rain,82.36,32.265,48.06,240.0,E10,E10,110,2027-09-18 20:00:00,Olivia
27.55013563136573/-82.17022585799779,82,81,87,0.07830000000000001,rain,85.04,29.430000000000003,47.385000000000005,237.0,N50,N50,550,2027-09-18 20:00:00,Olivia
27.34076849562474/-82.154246879885,83,81,89,0.0027,rain,83.38,28.35,44.685,236.0,N60,N60,560,2027-09-18 20:00:00,Olivia
27.46814086298033/-82.70183801706406,82,80,88,0.01755,rain,82.76,31.860000000000003,47.925000000000004,239.0,W90,W90,399,2027-09-18 20:00:00,Olivia
27.4920066298147/-82.50196786939364,82,80,88,0.17415000000000003,rain,88.0,26.730000000000004,48.6,220.0,E40,E40,140,2027-09-18 18:40:00,Olivia
27.52844207484047/-82.73131060040626,81,80,87,0.14985,rain,88.38,27.0,48.465,222.0,W70,W70,370,2027-09-18 18:40:00,Olivia
27.4079906908935/-82.49381870885438,82,80,88,0.19305,rain,87.89,26.595000000000002,47.925000000000004,220.0,E60,E60,160,2027-09-18 18:40:00,Olivia
27.34076849562474/-82.154246879885,82,81,89,0.135,rain,85.85,30.915,51.57000000000001,224.0,N60,N60,560,2027-09-18 18:40:00,Olivia
27.57521237910287/-82.58438613832386,81,80,88,0.14850000000000002,rain,88.42,27.135000000000005,48.33,222.0,N10,N10,510,2027-09-18 18:40:00,Olivia
27.51631940991088/-82.32950123468633,81,80,87,0.14985,rain,88.47,27.135000000000005,48.06,222.0,N40,N40,540,2027-09-18 18:40:00,Olivia
27.48566734980852/-82.57935903047095,82,80,88,0.17145000000000002,rain,87.96,26.730000000000004,49.005,220.0,W10,W10,310,2027-09-18 18:40:00,Olivia
27.41355422392606/-82.42773936740639,82,80,88,0.17955000000000002,rain,87.99,26.730000000000004,48.33,220.0,N80,N80,580,2027-09-18 18:40:00,Olivia
27.43756032249264/-82.56105489081881,82,80,88,0.1728,rain,87.87,26.595000000000002,49.410000000000004,220.0,W30,W30,330,2027-09-18 18:40:00,Olivia
27.46814086298033/-82.70183801706406,82,80,88,0.162,rain,88.1,26.865,49.005,221.0,W90,W90,399,2027-09-18 18:40:00,Olivia
27.44964845888914/-82.63872640241588,82,80,88,0.16740000000000002,rain,87.95,26.595000000000002,49.410000000000004,220.0,W50,W50,350,2027-09-18 18:40:00,Olivia
27.55013563136573/-82.17022585799779,81,81,87,0.1215,rain,88.97,27.54,47.52000000000001,223.0,N50,N50,550,2027-09-18 18:40:00,Olivia
27.42519527588937/-82.593902809873,82,80,88,0.16335,rain,87.88,26.595000000000002,50.08500000000001,220.0,W40,W40,340,2027-09-18 18:40:00,Olivia
27.48534636382016/-82.54659978322104,82,80,88,0.17415000000000003,rain,87.96,26.730000000000004,48.870000000000005,220.0,E10,E10,110,2027-09-18 18:40:00,Olivia
27.43718857770742/-82.49526276632398,82,80,88,0.18630000000000002,rain,87.9,26.595000000000002,48.33,220.0,E50,E50,150,2027-09-18 18:40:00,Olivia
27.4113915222411/-82.63641742330496,82,80,88,0.16740000000000002,rain,87.91,26.595000000000002,49.54500000000001,220.0,W95,W95,395,2027-09-18 18:40:00,Olivia
27.58244732780023/-82.47046351483293,81,80,88,0.14445,rain,88.54,27.135000000000005,48.06,222.0,N30,N30,530,2027-09-18 18:40:00,Olivia
27.48091629798749/-82.43623531900593,82,80,88,0.1728,rain,88.08,26.730000000000004,48.465,221.0,N70,N70,570,2027-09-18 18:40:00,Olivia
27.51337266681446/-82.7160042494716,82,80,87,0.15525000000000003,rain,88.28,27.0,48.6,221.0,W80,W80,380,2027-09-18 18:40:00,Olivia
27.42497082223545/-82.53885956314242,82,80,88,0.18900000000000003,rain,87.86,26.595000000000002,48.33,220.0,E20,E20,120,2027-09-18 18:40:00,Olivia
27.40958230929196/-82.56607332708364,82,80,88,0.135,rain,87.86,26.595000000000002,52.11000000000001,220.0,E30,E30,130,2027-09-18 18:40:00,Olivia
27.57521237910287/-82.52810297841918,81,80,88,0.14985,rain,88.42,27.135000000000005,48.33,222.0,N20,N20,520,2027-09-18 18:40:00,Olivia
27.50413881751056/-82.64579861863763,82,80,88,0.16335,rain,88.1,26.730000000000004,48.870000000000005,221.0,W60,W60,360,2027-09-18 18:40:00,Olivia
27.45564167051887/-82.57125875181734,82,80,88,0.1728,rain,87.9,26.595000000000002,49.275000000000006,220.0,W20,W20,320,2027-09-18 18:40:00,Olivia
27.42519527588937/-82.593902809873,80,80,88,0.21870000000000003,rain,93.97,29.565,55.89,230.0,W40,W40,340,2027-09-18 17:20:00,Olivia
27.48091629798749/-82.43623531900593,80,80,88,0.2565,rain,93.36,29.835000000000004,54.405,229.0,N70,N70,570,2027-09-18 17:20:00,Olivia
27.55013563136573/-82.17022585799779,81,81,87,0.1836,rain,90.99,30.645,52.650000000000006,223.0,N50,N50,550,2027-09-18 17:20:00,Olivia
27.48566734980852/-82.57935903047095,80,80,88,0.2457,rain,93.7,29.700000000000003,55.08,229.0,W10,W10,310,2027-09-18 17:20:00,Olivia
27.4113915222411/-82.63641742330496,80,80,88,0.2322,rain,93.86,29.700000000000003,55.48500000000001,230.0,W95,W95,395,2027-09-18 17:20:00,Olivia
27.43718857770742/-82.49526276632398,80,80,88,0.28215,rain,93.83,29.700000000000003,54.54,230.0,E50,E50,150,2027-09-18 17:20:00,Olivia
27.51631940991088/-82.32950123468633,80,80,87,0.22275000000000003,rain,92.31,30.105000000000004,53.73,226.0,N40,N40,540,2027-09-18 17:20:00,Olivia
27.57521237910287/-82.58438613832386,80,80,88,0.21870000000000003,rain,92.47,30.105000000000004,54.0,227.0,N10,N10,510,2027-09-18 17:20:00,Olivia
27.48534636382016/-82.54659978322104,80,80,88,0.2538,rain,93.71,29.700000000000003,54.94500000000001,229.0,E10,E10,110,2027-09-18 17:20:00,Olivia
27.58244732780023/-82.47046351483293,80,80,88,0.21465,rain,92.14,30.24,53.595000000000006,226.0,N30,N30,530,2027-09-18 17:20:00,Olivia
27.44964845888914/-82.63872640241588,80,80,88,0.23625,rain,93.75,29.700000000000003,55.35,229.0,W50,W50,350,2027-09-18 17:20:00,Olivia
27.50413881751056/-82.64579861863763,80,80,88,0.2349,rain,93.34,29.835000000000004,54.81,229.0,W60,W60,360,2027-09-18 17:20:00,Olivia
27.41355422392606/-82.42773936740639,80,80,88,0.27,rain,93.61,29.700000000000003,54.54,229.0,N80,N80,580,2027-09-18 17:20:00,Olivia
27.4920066298147/-82.50196786939364,80,80,88,0.25785,rain,93.57,29.700000000000003,54.675000000000004,229.0,E40,E40,140,2027-09-18 17:20:00,Olivia
27.34076849562474/-82.154246879885,81,81,89,0.162,rain,88.37,29.565,51.57000000000001,226.0,N60,N60,560,2027-09-18 17:20:00,Olivia
27.45564167051887/-82.57125875181734,80,80,88,0.24435,rain,93.89,29.565,55.35,230.0,W20,W20,320,2027-09-18 17:20:00,Olivia
27.52844207484047/-82.73131060040626,80,80,87,0.21735000000000002,rain,92.58,30.105000000000004,54.135000000000005,227.0,W70,W70,370,2027-09-18 17:20:00,Olivia
27.46814086298033/-82.70183801706406,80,80,88,0.2322,rain,93.32,29.835000000000004,54.81,229.0,W90,W90,399,2027-09-18 17:20:00,Olivia
27.40958230929196/-82.56607332708364,80,80,88,0.1431,rain,94.1,29.565,57.510000000000005,230.0,E30,E30,130,2027-09-18 17:20:00,Olivia
27.57521237910287/-82.52810297841918,80,80,88,0.2214,rain,92.46,30.105000000000004,53.865,227.0,N20,N20,520,2027-09-18 17:20:00,Olivia
27.4079906908935/-82.49381870885438,80,80,88,0.29565,rain,93.86,29.565,54.405,230.0,E60,E60,160,2027-09-18 17:20:00,Olivia
27.51337266681446/-82.7160042494716,80,80,87,0.22275000000000003,rain,92.85,29.970000000000002,54.405,227.0,W80,W80,380,2027-09-18 17:20:00,Olivia
27.43756032249264/-82.56105489081881,80,80,88,0.24435,rain,93.96,29.565,55.48500000000001,230.0,W30,W30,330,2027-09-18 17:20:00,Olivia
27.42497082223545/-82.53885956314242,80,80,88,0.2862,rain,93.93,29.565,54.675000000000004,230.0,E20,E20,120,2027-09-18 17:20:00,Olivia
27.48534636382016/-82.54659978322104,83,80,88,0.02295,rain,88.07,31.05,57.24,200.0,E10,E10,110,2027-09-18 16:00:00,Olivia
27.55013563136573/-82.17022585799779,82,81,87,0.013500000000000002,rain,88.75,32.13,56.29500000000001,200.0,N50,N50,550,2027-09-18 16:00:00,Olivia
27.41355422392606/-82.42773936740639,83,80,88,0.025650000000000003,rain,88.1,31.05,56.43,200.0,N80,N80,580,2027-09-18 16:00:00,Olivia
27.48091629798749/-82.43623531900593,83,80,88,0.0432,rain,88.24,31.05,56.565000000000005,201.0,N70,N70,570,2027-09-18 16:00:00,Olivia
27.4113915222411/-82.63641742330496,83,80,88,0.013500000000000002,rain,88.0,31.05,58.32000000000001,200.0,W95,W95,395,2027-09-18 16:00:00,Olivia
27.4920066298147/-82.50196786939364,83,80,88,0.03105,rain,88.14,31.05,56.970000000000006,200.0,E40,E40,140,2027-09-18 16:00:00,Olivia
27.43756032249264/-82.56105489081881,83,80,88,0.004050000000000001,rain,87.93,31.05,58.050000000000004,200.0,W30,W30,330,2027-09-18 16:00:00,Olivia
27.51337266681446/-82.7160042494716,82,80,87,0.09855,rain,88.61,30.780000000000005,56.970000000000006,202.0,W80,W80,380,2027-09-18 16:00:00,Olivia
27.44964845888914/-82.63872640241588,83,80,88,0.02295,rain,88.07,31.05,58.050000000000004,200.0,W50,W50,350,2027-09-18 16:00:00,Olivia
27.45564167051887/-82.57125875181734,83,80,88,0.00945,rain,87.97,31.05,57.915,200.0,W20,W20,320,2027-09-18 16:00:00,Olivia
27.4079906908935/-82.49381870885438,83,80,88,0.006750000000000001,rain,87.95,31.05,55.89,200.0,E60,E60,160,2027-09-18 16:00:00,Olivia
27.48566734980852/-82.57935903047095,83,80,88,0.0243,rain,88.08,31.05,57.510000000000005,200.0,W10,W10,310,2027-09-18 16:00:00,Olivia
27.57521237910287/-82.58438613832386,82,80,88,0.11340000000000001,rain,88.75,30.780000000000005,56.565000000000005,202.0,N10,N10,510,2027-09-18 16:00:00,Olivia
27.50413881751056/-82.64579861863763,83,80,88,0.05670000000000001,rain,88.31,30.915,57.37500000000001,201.0,W60,W60,360,2027-09-18 16:00:00,Olivia
27.40958230929196/-82.56607332708364,83,80,88,0.0,,87.9,31.05,62.370000000000005,200.0,E30,E30,130,2027-09-18 16:00:00,Olivia
27.46814086298033/-82.70183801706406,83,80,88,0.0594,rain,88.33,30.915,57.37500000000001,201.0,W90,W90,399,2027-09-18 16:00:00,Olivia
27.42519527588937/-82.593902809873,83,80,88,0.0054,rain,87.93,31.05,59.13,200.0,W40,W40,340,2027-09-18 16:00:00,Olivia
27.51631940991088/-82.32950123468633,82,80,87,0.008100000000000001,rain,88.37,31.725,56.565000000000005,200.0,N40,N40,540,2027-09-18 16:00:00,Olivia
27.42497082223545/-82.53885956314242,83,80,88,0.00135,rain,87.91,31.05,56.43,200.0,E20,E20,120,2027-09-18 16:00:00,Olivia
27.52844207484047/-82.73131060040626,82,80,87,0.1215,rain,88.76,30.645,56.7,202.0,W70,W70,370,2027-09-18 16:00:00,Olivia
27.43718857770742/-82.49526276632398,83,80,88,0.0108,rain,87.98,31.05,56.43,200.0,E50,E50,150,2027-09-18 16:00:00,Olivia
27.34076849562474/-82.154246879885,84,81,89,0.0,,83.65,29.970000000000002,54.405,204.0,N60,N60,560,2027-09-18 16:00:00,Olivia
27.58244732780023/-82.47046351483293,82,80,88,0.11475000000000002,rain,88.83,30.780000000000005,56.29500000000001,202.0,N30,N30,530,2027-09-18 16:00:00,Olivia
27.57521237910287/-82.52810297841918,82,80,88,0.1053,rain,88.72,30.780000000000005,56.565000000000005,202.0,N20,N20,520,2027-09-18 16:00:00,Olivia
27.58244732780023/-82.47046351483293,82,80,88,0.0675,rain,87.39,39.285000000000004,68.17500000000001,209.0,N30,N30,530,2027-09-18 14:40:00,Olivia
27.4920066298147/-82.50196786939364,83,80,88,0.0108,rain,85.59,39.015,67.36500000000001,210.0,E40,E40,140,2027-09-18 14:40:00,Olivia
27.42497082223545/-82.53885956314242,83,80,88,0.00135,rain,85.35,39.015,67.23,210.0,E20,E20,120,2027-09-18 14:40:00,Olivia
27.43756032249264/-82.56105489081881,83,80,88,0.00135,rain,85.36,39.015,67.635,210.0,W30,W30,330,2027-09-18 14:40:00,Olivia
27.44964845888914/-82.63872640241588,83,80,88,0.008100000000000001,rain,85.52,39.015,67.635,210.0,W50,W50,350,2027-09-18 14:40:00,Olivia
27.4079906908935/-82.49381870885438,83,80,88,0.0027,rain,85.39,39.015,67.23,210.0,E60,E60,160,2027-09-18 14:40:00,Olivia
27.52844207484047/-82.73131060040626,83,80,87,0.0486,rain,86.47,39.285000000000004,67.36500000000001,210.0,W70,W70,370,2027-09-18 14:40:00,Olivia
27.40958230929196/-82.56607332708364,83,80,88,0.0,,85.34,39.015,68.58,210.0,E30,E30,130,2027-09-18 14:40:00,Olivia
27.55013563136573/-82.17022585799779,82,81,87,0.08505,rain,89.08,39.015,67.5,207.0,N50,N50,550,2027-09-18 14:40:00,Olivia
